number, order, height, timestamp, address, amount(Meer), TimeWeight, TotalLockAmount(Meer), profit(Meer)
1, 2624, 2620, 1632983758, MmKsJGj5vHSFLmmPeMatTiKXMSTagHx3cdE, 1, 5, 1.00000000, 1.26294647
2, 45920, 45907, 1634288799, Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z, 1, 3, 2.00000000, 0.75776788
3, 56653, 56640, 1634612935, Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z, 5, 2, 7.00000000, 2.52589295
4, 57207, 57194, 1634629349, MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR, 100, 2, 107.00000000, 50.51785911
5, 57227, 57214, 1634629988, MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR, 278, 2, 385.00000000, 140.43964834
6, 57397, 57384, 1634635595, MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A, 10000, 2, 10385.00000000, 5051.78591186
7, 57610, 57597, 1634641346, MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq, 50, 2, 10435.00000000, 25.25892955
8, 57616, 57603, 1634641495, MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq, 50, 2, 10485.00000000, 25.25892955
9, 57695, 57682, 1634644320, MmLu9DUDSaLT34vA8GCBimPmFHiCn77Ti7k, 499, 2, 10984.00000000, 252.08411700
10, 57775, 57762, 1634646736, Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE, 1000, 2, 11984.00000000, 505.17859118
11, 57813, 57800, 1634647658, MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ, 50, 2, 12034.00000000, 25.25892955
12, 57858, 57845, 1634648935, Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS, 300, 2, 12334.00000000, 151.55357735
13, 57955, 57942, 1634651868, MmVuQDxT8jpqbLQfJR4fgqgDnfDpgoBMUMB, 999, 2, 13333.00000000, 504.67341259
14, 57986, 57973, 1634652998, MmVuQDxT8jpqbLQfJR4fgqgDnfDpgoBMUMB, 0.99971, 2, 13333.99971000, 0.50503208
15, 59586, 59573, 1634700915, MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY, 19, 2, 13352.99971000, 9.59839323
16, 59825, 59812, 1634708691, MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC, 200, 2, 13552.99971000, 101.03571823
17, 59843, 59830, 1634709300, MmYUU3KcFHXXe6Z415WLYH31rko6b1eh4wS, 8999, 2, 22551.99971000, 4546.10214209
18, 60329, 60316, 1634723449, MmTcWSYjy6UeZHjR5mvWSLHfoTPvKxDdcQ5, 500, 2, 23051.99971000, 252.58929559
19, 60344, 60331, 1634723943, MmTcWSYjy6UeZHjR5mvWSLHfoTPvKxDdcQ5, 10, 2, 23061.99971000, 5.05178591
20, 60668, 60655, 1634733897, Mme6P5vfTQ2KwuDEwhEHbuBmyCRtCJt9jFi, 1000, 2, 24061.99971000, 505.17859118
21, 60703, 60690, 1634735169, MmhRMTYt2jvwJW9qKSoTe97xcoFL8tAX8m5, 1999.99, 2, 26061.98971000, 1010.35213058
22, 60774, 60761, 1634737354, MmMZ36vSLT3aRLMpMDdEYkMhaeoPwg6Famk, 100, 2, 26161.98971000, 50.51785911
23, 60796, 60783, 1634738076, MmMZ36vSLT3aRLMpMDdEYkMhaeoPwg6Famk, 200, 2, 26361.98971000, 101.03571823
24, 60827, 60814, 1634739051, MmdjjVhp5NNfoHmXc9muaywr5FiaswdGfMt, 3500, 2, 29861.98971000, 1768.12506915
25, 61049, 61036, 1634744901, MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A, 3000, 2, 32861.98971000, 1515.53577356
26, 61224, 61211, 1634751297, MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A, 500, 2, 33361.98971000, 252.58929559
27, 62486, 62473, 1634788494, Mma6CNrdzFkXbhxGhS1Drra4iee2Zvcb9HS, 900, 2, 34261.98971000, 454.66073206
28, 62713, 62700, 1634795958, MmTzk11ShsQi3kYGNbjN3mxkiixKX74MfnW, 499.99, 2, 34761.97971000, 252.58424380
29, 62737, 62724, 1634796509, MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY, 80, 2, 34841.97971000, 40.41428729
30, 62774, 62761, 1634798054, MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o, 614, 2, 35455.97971000, 310.17965498
31, 62778, 62765, 1634798115, MmUuqa23qDSPPUunvd79ZGpGPXhnoLWxoca, 999, 2, 36454.97971000, 504.67341259
32, 62780, 62767, 1634798172, MmZPAQGodVvvnc6JqXduEoF7Cb9S98tQjgp, 614, 2, 37068.97971000, 310.17965498
33, 62872, 62859, 1634800461, MmaubsfZQ7LjSmbub116ULZMjZKfX6hP61F, 4000, 2, 41068.97971000, 2020.71436474
34, 62875, 62862, 1634800531, MmR3yfPYwtaWHmAxjSRWP5ymxH4HFtws39K, 999, 2, 42067.97971000, 504.67341259
35, 63004, 62991, 1634804133, MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye, 30, 2, 42097.97971000, 15.15535773
36, 63409, 63396, 1634816283, MmX34ruLpsfWU3nnEBGrE4RCj7yMrPZ2jMi, 999, 2, 43096.97971000, 504.67341259
37, 63429, 63416, 1634816913, MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ, 50, 2, 43146.97971000, 25.25892955
38, 63959, 63946, 1634832944, MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A, 1000, 2, 44146.97971000, 505.17859118
39, 65019, 65006, 1634865613, MmVYoG5hQ5ANTvSb5y7LpzrXQf2d1e61qQr, 50, 2, 44196.97971000, 25.25892955
40, 65661, 65648, 1634884659, MmdjjVhp5NNfoHmXc9muaywr5FiaswdGfMt, 400, 2, 44596.97971000, 202.07143647
41, 65859, 65846, 1634890147, Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z, 1, 2, 44597.97971000, 0.50517859
42, 65919, 65906, 1634891863, MmgQBFaZbmUxP5KjFYewb6NdWhgdj3nbtn2, 1100, 2, 45697.97971000, 555.69645030
43, 66144, 66131, 1634899529, MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY, 1, 2, 45698.97971000, 0.50517859
44, 66307, 66294, 1634904345, MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ, 50, 2, 45748.97971000, 25.25892955
45, 66364, 66351, 1634905546, MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT, 1000, 2, 46748.97971000, 505.17859118
46, 66376, 66363, 1634905808, MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o, 386, 2, 47134.97971000, 194.99893619
47, 68269, 68256, 1634962932, MmT1X5ekNjv683YckV8eLwTohr2KmoFHnw9, 79.8, 2, 47214.77971000, 40.31325157
48, 68306, 68293, 1634964094, MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC, 500, 2, 47714.77971000, 252.58929559
49, 71618, 71605, 1635063687, MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY, 40, 2, 47754.77971000, 20.20714364
50, 72389, 72376, 1635086323, MmSVtzp25G3PRsc2VYvJ1baogPHV2aKSG72, 100, 1, 47854.77971000, 25.25892955
51, 72402, 72389, 1635086754, MmQeu2Qij8j37gu3qN21hxgG1k1p4XNFBEe, 300, 1, 48154.77971000, 75.77678867
52, 72778, 72765, 1635098676, MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A, 2000, 1, 50154.77971000, 505.17859118
53, 74695, 74682, 1635155850, MmaSnnD6Gqtfk6Y1Wphz5UCm9sZMv2JA3tw, 997.9, 1, 51152.67971000, 252.05885807
