Number Order Height Timestamp Address Amount(Meer) competitionReward(Meer)
111 90482 90469 1635633859 MmbEd9eFQjwRrKprKadaUnMMkg3SYA3eAmV 40 2.22860138
112 90727 90714 1635641791 Mmef8RgJvePP9JxGcfjfTQJNwXnfDabkgkF 200 11.14300692
113 90785 90772 1635643728 Mmg72YV8bZZDTSs34rC6MCmfarqXTKLkJXx 2 0.11143006
114 90983 90970 1635653393 MmaXQdHQSMYa1xCgYTvvsvpShbeRP52fz1p 5 0.27857517
115 90992 90979 1635653694 MmVYoG5hQ5ANTvSb5y7LpzrXQf2d1e61qQr 500 27.85751730
116 91148 91135 1635657213 MmRoZpTtobGMyGSYd6mckwrou4s9YLbCdDG 51.99 2.89662464
117 91545 91532 1635668896 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 30 1.67145103
118 91628 91615 1635671050 MmRQhCtZEgr1dksnbzHrEP2GVHrqhyb92wG 68 3.78862235
119 91654 91641 1635671961 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 25 1.39287586
120 92035 92022 1635683212 MmZRuWLvoQE8vm9RzEL7UaMKzjeMw3SmWtN 100 5.57150346
121 92486 92473 1635701203 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 5.99 0.33373305
122 93385 93372 1635726218 MmNCfHzG31GbZDS7abUEkbSt137ofFiVJqm 24 1.33716083
123 93444 93431 1635728039 MmQKu9HbTos6gD4wR2deErWTXdjR55vM3Sp 150 8.35725519
124 93721 93708 1635736532 MmaXQdHQSMYa1xCgYTvvsvpShbeRP52fz1p 100 5.57150346
125 93749 93736 1635737452 MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 10 0.55715034
126 93822 93809 1635739848 Mmf6Ez1qWZtnfLjcDKFdom8URzcchgMBcnZ 300 16.71451038
127 93921 93908 1635741995 MmYYBxhPnd6UNrKy7hjHVHjFMLxMPhofKad 1001 55.77074965
128 93996 93983 1635744065 MmXmN6nX5o1FTZ4XXasJ82muY6mipjFrS8c 110 6.12865380
129 94043 94030 1635745715 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 4000 222.86013846
130 94247 94234 1635751758 MmaJ2tfSchbPCks8sGZDnp2fsKhmfNEJQCm 142 7.91153491
131 94311 94298 1635753743 MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A 3000 167.14510384
132 94311 94298 1635753744 MmUkWYis5XQhkKWhZ4uQPF9B8z5aY3vEAyw 500 27.85751730
133 94597 94584 1635761928 MmTcWSYjy6UeZHjR5mvWSLHfoTPvKxDdcQ5 250 13.92875865
134 94694 94681 1635764799 MmRkXg5qgLu2CcjKVLSvEHWY29FmY3iAkAM 199.9 11.13743541
135 94734 94721 1635766068 MmLiUeVuXFi8QB42W5ivcWmGDvEBKtCzikM 64 3.56576221
136 94982 94969 1635773282 MmgQWnwy8GoyCPeAXCKxf85kqa6Ma4fEvEr 1000 55.71503461
137 95010 94997 1635774132 MmQ3RFahCMqY56WuUWRcMtePj9tE4VAPnGC 1000 55.71503461
138 95013 95000 1635774209 MmQKGoz3GPgCEjVJaAiTMa5HEBoRtqEo2Yz 1000 55.71503461
139 95078 95065 1635775980 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 30 1.67145103
140 95084 95071 1635776106 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 30 1.67145103
141 95201 95188 1635780128 MmLUPq8HMfz8dk9P28dG86SoVXYjLJ8weGu 100 5.57150346
142 96650 96637 1635823715 Mmh5rrz6yT73tggL2oZnNusWwvLhDowg5XL 100 5.57150346
143 96903 96890 1635830414 MmiLiuSNEfU1zZjhc3Xnhp9uZwdEMXg5KQK 251 13.98447368
144 96916 96903 1635830760 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 100 5.57150346
145 96925 96912 1635831130 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 30 1.67145103
146 96983 96970 1635833705 MmazENqv1mU9sy3C3VgKNUiVKAi2ewyZWiE 499.99 27.85696015
147 97968 97955 1635862222 MmchK5bsiUcKMjkuiS48fNjEMSFuu4qYhk8 2000 111.43006923
148 98006 97993 1635863456 Mmdhq6FjRPwqhCs9kmaUqZMmWpHc4Ue9szz 300 16.71451038
149 98446 98433 1635876594 MmKyXQezZsz2MfHfojkJeuxhPKd2Cyy96L6 500 27.85751730
150 99441 99428 1635906703 MmYvVNquDGNv3fiUa6edJda3oFib6TQwWty 485 27.02179178
151 99515 99502 1635908897 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 133 7.41009960
152 99605 99592 1635911938 MmVsfChfXVWULSrZUpH5BrZ76uDuQa9Wn5T 40 2.22860138
153 99963 99950 1635922213 MmXmN6nX5o1FTZ4XXasJ82muY6mipjFrS8c 7 0.39000524
154 100005 99992 1635923639 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 14 0.78001048
155 100202 100189 1635929579 MmRxoD9f57jDexnzoYXB8wQDZ5BiB2Y5J4e 200 11.14300692
156 100430 100417 1635936408 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 56 3.12004193
