Number, Order, Height, Timestamp, Address, Amount(Meer), TimeWeight, TotalLockAmount(Meer), profit(Meer)
1, 3369, 3365, 1633005748, Mmf93CE9Cvvf3chYYn1okcBFB22u5wH2dyg, 1000, 5, 1000.00000000, 147.60226130
2, 41827, 41814, 1634166087, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 7000, 5, 8000.00000000, 1033.21582916
3, 41873, 41860, 1634167440, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 6500, 5, 14500.00000000, 959.41469850
4, 42334, 42321, 1634181398, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 1500, 5, 16000.00000000, 221.40339196
5, 42338, 42325, 1634181506, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 1000, 5, 17000.00000000, 147.60226130
6, 42345, 42332, 1634181684, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 1500, 5, 18500.00000000, 221.40339196
7, 42355, 42342, 1634181870, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 17500, 5, 36000.00000000, 2583.03957290
8, 42363, 42350, 1634182015, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 5000, 5, 41000.00000000, 738.01130654
9, 42380, 42367, 1634182262, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 1500, 5, 42500.00000000, 221.40339196
10, 42760, 42747, 1634194225, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 5000, 5, 47500.00000000, 738.01130654
11, 43893, 43880, 1634227912, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 1500, 5, 49000.00000000, 221.40339196
12, 43898, 43885, 1634228200, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 2000, 5, 51000.00000000, 295.20452261
13, 45919, 45906, 1634288684, Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z, 1, 5, 51001.00000000, 0.14760226
14, 48515, 48502, 1634366991, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 3500, 5, 54501.00000000, 516.60791458
15, 48518, 48505, 1634367086, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 1000, 5, 55501.00000000, 147.60226130
16, 51139, 51126, 1634446603, MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC, 2000, 5, 57501.00000000, 295.20452261
17, 53678, 53665, 1634523086, MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR, 108, 5, 57609.00000000, 15.94104422
18, 54104, 54091, 1634536557, Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD, 5000, 5, 62609.00000000, 738.01130654
19, 57687, 57674, 1634644142, MmLu9DUDSaLT34vA8GCBimPmFHiCn77Ti7k, 500, 5, 63109.00000000, 73.80113065
20, 57720, 57707, 1634645078, MmgQBFaZbmUxP5KjFYewb6NdWhgdj3nbtn2, 900, 5, 64009.00000000, 132.84203517
21, 57723, 57710, 1634645172, MmRDnoBFpGV6cH1TyJetvVwxqDfpoas2uFD, 0.5, 5, 64009.50000000, 0.07380113
22, 57777, 57764, 1634646781, Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE, 1000, 5, 65009.50000000, 147.60226130
23, 59586, 59573, 1634700976, MmdJaFV2ajr64kAL4V1Qt9txHrX2yg5fzNL, 990, 5, 65999.50000000, 146.12623869
24, 59747, 59734, 1634706533, MmbBhxR9DNsTAxSb9fkeza31LSpVt6p8kba, 10000, 5, 75999.50000000, 1476.02261309
25, 59802, 59789, 1634708108, MmYUU3KcFHXXe6Z415WLYH31rko6b1eh4wS, 1000, 5, 76999.50000000, 147.60226130
26, 59806, 59793, 1634708213, MmTvX6LJRRhLVdj6x6bzwejf5Yk2CbqtjR1, 1000, 5, 77999.50000000, 147.60226130
27, 59825, 59812, 1634708674, MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC, 200, 5, 78199.50000000, 29.52045226
28, 59829, 59816, 1634708832, MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm, 99, 5, 78298.50000000, 14.61262386
29, 59956, 59943, 1634712417, MmKsJGj5vHSFLmmPeMatTiKXMSTagHx3cdE, 10000, 5, 88298.50000000, 1476.02261309
30, 60855, 60842, 1634739944, MmfPRsX5kz6n1dsn7UG18Qjz5sT6JVM4Bzs, 200, 5, 88498.50000000, 29.52045226
31, 61912, 61899, 1634771868, MmWQ154JfrGbFW1KrjPVrPetr7X9DDvToqy, 300, 5, 88798.50000000, 44.28067839
32, 62709, 62696, 1634795866, MmTzk11ShsQi3kYGNbjN3mxkiixKX74MfnW, 500, 5, 89298.50000000, 73.80113065
33, 62738, 62725, 1634796686, MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye, 30, 5, 89328.50000000, 4.42806783
34, 63240, 63227, 1634811748, MmTA7j1Jvm9eKpLYXocwKvQsJ9BBp2X8a4j, 73, 5, 89401.50000000, 10.77496507
35, 63424, 63411, 1634816846, MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ, 50, 5, 89451.50000000, 7.38011306
36, 65432, 65419, 1634878107, MmZK62ew7q6LXs8bdrtspTd9z2Dw4mhTs81, 201, 5, 89652.50000000, 29.66805452
37, 66286, 66273, 1634903722, MmNviYQthctB9tmME78AW2nprJCCpqTptw7, 60, 5, 89712.50000000, 8.85613567
38, 66302, 66289, 1634904167, MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ, 50, 5, 89762.50000000, 7.38011306
39, 68305, 68292, 1634964081, MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC, 500, 5, 90262.50000000, 73.80113065
40, 71618, 71605, 1635063653, MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY, 40, 5, 90302.50000000, 5.90409045
41, 71872, 71859, 1635072147, MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge, 1000, 5, 91302.50000000, 147.60226130
42, 71893, 71880, 1635072606, MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge, 999, 5, 92301.50000000, 147.45465904
43, 72385, 72372, 1635086209, MmSVtzp25G3PRsc2VYvJ1baogPHV2aKSG72, 100, 5, 92401.50000000, 14.76022613
44, 72397, 72384, 1635086472, MmQeu2Qij8j37gu3qN21hxgG1k1p4XNFBEe, 300, 5, 92701.50000000, 44.28067839
