Number Order Height Timestamp Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
1 3369 3365 1633005748 Mmf93CE9Cvvf3chYYn1okcBFB22u5wH2dyg 1000 5 1000.00000000 134.13007981
2 41827 41814 1634166087 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 7000 5 8000.00000000 938.91055872
3 41873 41860 1634167440 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 6500 5 14500.00000000 871.84551882
4 42334 42321 1634181398 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500 5 16000.00000000 201.19511972
5 42338 42325 1634181506 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1000 5 17000.00000000 134.13007981
6 42345 42332 1634181684 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500 5 18500.00000000 201.19511972
7 42355 42342 1634181870 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 17500 5 36000.00000000 2347.27639682
8 42363 42350 1634182015 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 5000 5 41000.00000000 670.65039909
9 42380 42367 1634182262 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 1500 5 42500.00000000 201.19511972
10 42760 42747 1634194225 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 5000 5 47500.00000000 670.65039909
11 43893 43880 1634227912 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 1500 5 49000.00000000 201.19511972
12 43898 43885 1634228200 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 2000 5 51000.00000000 268.26015963
13 45919 45906 1634288684 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 1 5 51001.00000000 0.13413007
14 48515 48502 1634366991 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 3500 5 54501.00000000 469.45527936
15 48518 48505 1634367086 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 1000 5 55501.00000000 134.13007981
16 51139 51126 1634446603 MmRddd3hfCfvrYmFe1uYxzJ7cpKDFQDLNbC 2000 5 57501.00000000 268.26015963
17 53678 53665 1634523086 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 108 5 57609.00000000 14.48604862
18 54104 54091 1634536557 Mmh8noAj4bQLe7wyKmsBSfWKtFgfuZPB6TD 5000 5 62609.00000000 670.65039909
19 57687 57674 1634644142 MmLu9DUDSaLT34vA8GCBimPmFHiCn77Ti7k 500 5 63109.00000000 67.06503990
20 57720 57707 1634645078 MmgQBFaZbmUxP5KjFYewb6NdWhgdj3nbtn2 900 5 64009.00000000 120.71707183
21 57723 57710 1634645172 MmRDnoBFpGV6cH1TyJetvVwxqDfpoas2uFD 0.5 5 64009.50000000 0.06706503
22 57777 57764 1634646781 Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE 1000 5 65009.50000000 134.13007981
23 59586 59573 1634700976 MmdJaFV2ajr64kAL4V1Qt9txHrX2yg5fzNL 990 5 65999.50000000 132.78877902
24 59747 59734 1634706533 MmbBhxR9DNsTAxSb9fkeza31LSpVt6p8kba 10000 5 75999.50000000 1341.30079818
25 59802 59789 1634708108 MmYUU3KcFHXXe6Z415WLYH31rko6b1eh4wS 1000 5 76999.50000000 134.13007981
26 59806 59793 1634708213 MmTvX6LJRRhLVdj6x6bzwejf5Yk2CbqtjR1 1000 5 77999.50000000 134.13007981
27 59825 59812 1634708674 MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC 200 5 78199.50000000 26.82601596
28 59829 59816 1634708832 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 99 5 78298.50000000 13.27887790
29 59956 59943 1634712417 MmKsJGj5vHSFLmmPeMatTiKXMSTagHx3cdE 10000 5 88298.50000000 1341.30079818
30 60855 60842 1634739944 MmfPRsX5kz6n1dsn7UG18Qjz5sT6JVM4Bzs 200 5 88498.50000000 26.82601596
31 61912 61899 1634771868 MmWQ154JfrGbFW1KrjPVrPetr7X9DDvToqy 300 5 88798.50000000 40.23902394
32 62709 62696 1634795866 MmTzk11ShsQi3kYGNbjN3mxkiixKX74MfnW 500 5 89298.50000000 67.06503990
33 62738 62725 1634796686 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 30 5 89328.50000000 4.02390239
34 63240 63227 1634811748 MmTA7j1Jvm9eKpLYXocwKvQsJ9BBp2X8a4j 73 5 89401.50000000 9.79149582
35 63424 63411 1634816846 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50 5 89451.50000000 6.70650399
36 65432 65419 1634878107 MmZK62ew7q6LXs8bdrtspTd9z2Dw4mhTs81 201 5 89652.50000000 26.96014604
37 66286 66273 1634903722 MmNviYQthctB9tmME78AW2nprJCCpqTptw7 60 5 89712.50000000 8.04780478
38 66302 66289 1634904167 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50 5 89762.50000000 6.70650399
39 68305 68292 1634964081 MmcXsT3NSAyQmmacrBuYtUeMH3pqiYABCpC 500 5 90262.50000000 67.06503990
40 71618 71605 1635063653 MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 40 5 90302.50000000 5.36520319
41 71872 71859 1635072147 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 1000 5 91302.50000000 134.13007981
42 71893 71880 1635072606 MmgSuw7uHMZves6K5UAE6wL1niMENMxGXge 999 5 92301.50000000 133.99594973
43 72385 72372 1635086209 MmSVtzp25G3PRsc2VYvJ1baogPHV2aKSG72 100 5 92401.50000000 13.41300798
44 72397 72384 1635086472 MmQeu2Qij8j37gu3qN21hxgG1k1p4XNFBEe 300 5 92701.50000000 40.23902394
45 72600 72587 1635092692 MmTQPrthUmF5xbuwNQs4aCKq9AbvuTaAJiC 0.0007 5 92701.50070000 0.00009389
46 73501 73488 1635120051 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000 5 93701.50070000 134.13007981
47 74835 74822 1635160421 MmbScLjRvv2sxsj8YNkHHRkQfZ6kofKt5Xx 200 5 93901.50070000 26.82601596
48 75167 75154 1635170461 MmaJ2tfSchbPCks8sGZDnp2fsKhmfNEJQCm 5 5 93906.50070000 0.67065039
49 76894 76881 1635222774 MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o 1000 5 94906.50070000 134.13007981
50 76895 76882 1635222846 MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT 999 5 95905.50070000 133.99594973
51 76906 76893 1635223179 MmUesAcpTHzDwjkCsMtLRBrPMaEddC32u9o 1000 5 96905.50070000 134.13007981
52 76963 76950 1635224724 Mmhjd2RwQzbmXzKjvDXNU6Hs4GWWCGhKBYD 499 5 97404.50070000 66.93090982
53 78130 78117 1635259541 Mme6P5vfTQ2KwuDEwhEHbuBmyCRtCJt9jFi 1000 5 98404.50070000 134.13007981
54 79131 79118 1635289751 MmS7bQcM6yDKc5UrynFZcN9RxSPiCZLBiFy 999.9 5 99404.40070000 134.11666681
55 80196 80183 1635321325 MmT1X5ekNjv683YckV8eLwTohr2KmoFHnw9 671 5 100075.40070000 90.00128355
56 80908 80895 1635343049 MmNL3fqDmxo89C1eMTp5zfWPmmVJG87z32t 2.999 5 100078.39970000 0.40225610
57 80988 80975 1635345513 MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 10 5 100088.39970000 1.34130079
58 82478 82465 1635390652 MmYkY79iP3zScFZ2jFp5zXTKW7MstRwYmEo 2.9 5 100091.29970000 0.38897723
59 82627 82614 1635395567 MmbEd9eFQjwRrKprKadaUnMMkg3SYA3eAmV 30 5 100121.29970000 4.02390239
60 82632 82619 1635395715 MmZb2pxDQtYY5QCD69dx43rM3d5JPdTjbCn 1266 5 101387.29970000 169.80868105
61 82638 82625 1635395906 MmVYoG5hQ5ANTvSb5y7LpzrXQf2d1e61qQr 100 5 101487.29970000 13.41300798
62 82920 82907 1635404134 MmWQ154JfrGbFW1KrjPVrPetr7X9DDvToqy 132.56219685 5 101619.86189685 17.78057804
63 83021 83008 1635407254 Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500 5 102119.86189685 67.06503990
64 83087 83074 1635409036 Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500 5 102619.86189685 67.06503990
65 83699 83686 1635427231 Mma84KVNJ1GH79uswDCyc5rUijzbrErD15q 2500 5 105119.86189685 335.32519954
66 83770 83757 1635429497 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 25 5 105144.86189685 3.35325199
67 83971 83958 1635435465 MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 1000 5 106144.86189685 134.13007981
68 84009 83996 1635436658 MmMPh1pauGG3k93ZSkgbyEsoM6iEQwowR6o 999.99 5 107144.85189685 134.12873851
69 84046 84033 1635437444 MmPdHrY5dm1ztqLaFj8Fe2m2PjqR4fF6qg7 999.99 5 108144.84189685 134.12873851
70 85538 85525 1635483223 Mmf6sxKjvFZnwmjvEFw8D5T1Je1PD5L781y 500 5 108644.84189685 67.06503990
