Number Order Height Timestamp Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
1 2624 2620 1632983758 MmKsJGj5vHSFLmmPeMatTiKXMSTagHx3cdE 1 5 1.00000000 0.12070663
2 45920 45907 1634288799 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 1 5 2.00000000 0.12070663
3 56653 56640 1634612935 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 5 5 7.00000000 0.60353315
4 57207 57194 1634629349 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 100 5 107.00000000 12.07066319
5 57227 57214 1634629988 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 278 5 385.00000000 33.55644367
6 57397 57384 1634635595 MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A 10000 5 10385.00000000 1207.06631914
7 57610 57597 1634641346 MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq 50 5 10435.00000000 6.03533159
8 57616 57603 1634641495 MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq 50 5 10485.00000000 6.03533159
9 57695 57682 1634644320 MmLu9DUDSaLT34vA8GCBimPmFHiCn77Ti7k 499 5 10984.00000000 60.23260932
10 57775 57762 1634646736 Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE 1000 5 11984.00000000 120.70663191
11 57813 57800 1634647658 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50 5 12034.00000000 6.03533159
12 57858 57845 1634648935 Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS 300 5 12334.00000000 36.21198957
13 57955 57942 1634651868 MmVuQDxT8jpqbLQfJR4fgqgDnfDpgoBMUMB 999 5 13333.00000000 120.58592528
14 57986 57973 1634652998 MmVuQDxT8jpqbLQfJR4fgqgDnfDpgoBMUMB 0.99971 5 13333.99971000 0.12067162
