Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
1 2624 2620 17180674f576e8cc71403f742ec2870835c8a706a2129a8400aad9cbba470813 MmKsJGj5vHSFLmmPeMatTiKXMSTagHx3cdE 1.00000000 5 1.00000000 0.10578030
2 45920 45907 0284a216d123d3a9776b17207d3d597e6de0fb6de28e71963f2fde5e60e305f3 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 1.00000000 5 2.00000000 0.10578030
3 56653 56640 e34a5519c6113d8fae83309a6f335cb206ceac58b91a034d15227dc093cbacf0 Mmg746Tp5gyHZvpi4kdETv8A6Z7NtbEPn2z 5.00000000 5 7.00000000 0.52890150
4 57207 57194 cc8001cfb23b688125804a38a185b1d7fa980282494d830622073fa6d852421a MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 100.00000000 5 107.00000000 10.57803004
5 57227 57214 c53f57da44d7a775697ddb8c219e6384e9d4282c606ee4fcf84d792318edb540 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 278.00000000 5 385.00000000 29.40692352
6 57397 57384 db881d300890177f1893801901ffe3ee79f893a0106117402191758c77fac720 MmZYrC2CKGNaUPFy82gueprG1N59WMprH5A 10000.00000000 5 10385.00000000 1057.80300465
7 57610 57597 3e6ced47c716c588a16d6c10a043edf1d1cb71d2db3cc712e5773e5f656f3077 MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq 50.00000000 5 10435.00000000 5.28901502
8 57616 57603 05263f9d11d1c260152f182ba6c2fea8fb4f69ae6bf5d9d773348ee904d16bda MmXpj7YDWeDJMCc3dPNKA2mtyDbRNuTtxaq 50.00000000 5 10485.00000000 5.28901502
9 57695 57682 7b10f467721b2c644886d0311f63507ad920791a40ce45e532ed5e3f4aebcabb MmLu9DUDSaLT34vA8GCBimPmFHiCn77Ti7k 499.00000000 5 10984.00000000 52.78436993
10 57775 57762 8486514eea769626fd0a2a3509a39e7c49bb450cdcf656e1a15c948e25caf7cf Mmbyn3QvdrQZChT2QNbaZQxNFccpToz2inE 1000.00000000 5 11984.00000000 105.78030046
11 57813 57800 d4fc503b720b3cbddfee5f5ab04b9b6c7cc63a806b3fd8b52ed4d0e758d30f45 MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 50.00000000 5 12034.00000000 5.28901502
12 57858 57845 5e0e83874a9ec6e0998094a62977ae666caae582c167eca78603a57cdf0e30d7 Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS 300.00000000 5 12334.00000000 31.73409013
13 57955 57942 8b943c6dad678dc7e04b598e24cc68e681eb14a2cb617ca19e7bd2e6c346296d MmVuQDxT8jpqbLQfJR4fgqgDnfDpgoBMUMB 999.00000000 5 13333.00000000 105.67452016
